CaseOrder,Customer_id,Interaction,UID,City,State,County,Zip,Lat,Lng,Population,Area,TimeZone,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
3666,X656608,ec9e9744-627a-4a63-b56b-79e7530f00d4,eed431ef46d2008535b4dca631a04184,Palco,KS,Rooks,67657,39.21027,-99.61998,259,Rural,America/Chicago,Petroleum engineer,3,88,55271.5,Divorced,Female,No,11.07053,18,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Mailed Check,4.278123,147.4601,412.2016012,4,5,4,3,4,4,5,3
3667,R710663,8712d074-e9e5-4cec-9cbc-1a6ac91e23f1,02ea79573bd042d2bea5d5f1f4ae6f95,Seattle,WA,King,98108,47.54126,-122.313,23980,Urban,America/Los_Angeles,Insurance account manager,0,39,18107.56,Divorced,Male,No,12.86633,14,0,1,No,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),5.876252,114.9838,693.7341041,2,2,2,3,5,3,1,2
3668,K429689,465f8c40-ff8e-4288-a01c-d574f9758d9c,d4665210028b6000ed9622bdf816d76d,Senecaville,OH,Guernsey,43780,39.91755,-81.43855,1697,Urban,America/New_York,Geographical information systems officer,3,27,60246.56,Married,Female,No,14.88587,18,0,1,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,4.674127,112.4844,618.2837675,4,3,3,4,3,4,3,5
3669,Q994510,58385842-f959-49f8-b4d8-286a79ce206b,7334e5698365e5e0e3b53ec31c5aeeef,Mohawk,MI,Keweenaw,49950,47.38063,-88.11998,1238,Urban,America/Detroit,"Engineer, drilling",2,23,31991.43,Separated,Female,No,10.94084,10,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),2.912281,137.4686,553.494246,3,4,4,5,2,5,4,4
3670,K562152,22c2e2c8-38ba-4b48-ac1d-6ae69ad3410e,3b27565c232af29394a6652b121e8940,Eielson Afb,AK,Fairbanks North Star,99702,64.64824,-147.049,3006,Urban,America/Anchorage,Hydrologist,2,57,10085.48,Married,Male,No,11.06462,12,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Credit Card (automatic),7.896421,142.5007,1435.659724,4,5,4,4,4,3,3,4
3671,I340772,b4088c2c-3587-4602-a3e5-419dd266f5a7,801266c308687fe8a7ba42e747128ae0,Sale City,GA,Mitchell,31784,31.25813,-84.0423,764,Rural,America/New_York,Soil scientist,7,59,38154.75,Divorced,Male,No,10.34109,10,0,0,No,One year,No,No,None,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,5.115763,117.5152,937.3671919,4,4,4,5,2,5,5,4
3672,N685548,06d2cafd-82d0-4725-ae1c-738f9052f2e4,e8b4a43272324fbf21ed07fde8b341aa,Corsicana,TX,Navarro,75109,32.04523,-96.35405,4555,Urban,America/Chicago,Artist,4,35,29179.15,Separated,Male,No,7.449366,13,0,0,No,Two Year,Yes,No,None,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),3.911083,172.4848,971.4767445,4,3,3,3,3,3,4,5
3673,E999597,f0aec99c-7a9b-49f8-b34a-b7d1493b2564,6eab69afd3ff6e53fe0b193a885d3a7e,Veneta,OR,Lane,97487,43.9862,-123.3909,8878,Rural,America/Los_Angeles,"Engineer, petroleum",0,77,20454.49,Divorced,Male,Yes,8.80106,12,1,0,Yes,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,Yes,No,No,Credit Card (automatic),5.096104,117.4392,980.9842958,4,3,4,2,4,3,3,4
3674,B854734,7d35035d-91d9-418b-9f5c-8070325e8524,8224ffd3195bf713036a63d386e48853,Yulee,FL,Nassau,32097,30.66379,-81.62966,18518,Urban,America/New_York,Merchant navy officer,1,28,18911.92,Married,Female,No,3.681734,14,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Mailed Check,2.277916,149.9598,520.0280011,3,4,3,4,2,4,3,4
3675,H858502,9bafe018-debd-4147-b2da-fc82f11b1183,802f90f53068420e9cd3e343408b1836,Cahone,CO,Dolores,81320,37.72182,-108.7334,187,Suburban,America/Denver,"Engineer, drilling",2,72,52531.68,Widowed,Female,No,4.033514,13,1,1,No,Month-to-month,Yes,No,None,No,Yes,No,No,No,No,No,No,Yes,Bank Transfer(automatic),11.30129,112.4844,982.9761431,3,2,4,3,3,4,3,4
3676,E838812,467fa3f6-2138-4cbb-808a-c9570de28f18,d5253bd272eb114a2fe02c5864f26997,Oklahoma City,OK,Oklahoma,73127,35.47757,-97.6539,25134,Urban,America/Chicago,Make,0,78,18346.56,Widowed,Female,No,11.63789,9,1,0,No,Month-to-month,Yes,No,None,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Mailed Check,33.6803,129.9926,2902.678202,5,4,3,3,3,3,3,3
3677,T332168,8e4d403f-64ea-4a34-9a04-a41b22864554,be0e83f78cd6b0896874b6424887d4e0,Ackerman,MS,Choctaw,39735,33.34737,-89.18525,3498,Suburban,America/Chicago,Lawyer,1,80,21741.59,Married,Female,No,10.03618,12,0,0,No,Two Year,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),16.66607,117.4686,1876.277402,2,1,1,4,5,2,3,4
3678,U913708,304e439a-ba47-4975-86f2-ca0d9deaa872,b5f171a12b5c9c30b8664538ddbe0031,Boyne Falls,MI,Charlevoix,49713,45.21438,-84.85253,2050,Urban,America/Detroit,Armed forces logistics/support/administrative officer,3,44,35306.17,Widowed,Male,No,7.902938,11,3,0,Yes,Two Year,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),16.15713,169.9378,1767.444722,3,2,3,4,3,5,5,4
3679,C461781,7f1c3602-e9a8-40ae-9492-4e6a912ad553,4194be69e586712a2187585f1367b419,Griffithville,AR,White,72060,35.08408,-91.60119,597,Suburban,America/Chicago,Mechanical engineer,5,45,30933.38,Never Married,Male,No,5.692916,8,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),2.976407,204.9634,903.733212,4,4,3,4,3,4,4,4
3680,J159507,cd5b563a-3769-48cd-9a1c-b4b08d4b2eb0,d71d285e7c5678526f1f8c56a2456008,Homer,AK,Kenai Peninsula,99603,59.52457,-151.2287,10509,Rural,America/Anchorage,Medical illustrator,1,23,14917.11,Widowed,Male,Yes,12.14053,11,2,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,3.235443,127.4783,1022.929869,3,4,3,5,4,4,5,3
3681,A224472,ad97fea1-7d5a-4dcd-806c-5bf4ff1579ab,442f4b27b5a77b04a9f8fead9dbd7c51,Frederica,DE,Kent,19946,39.03423,-75.45415,5438,Rural,America/New_York,Sales promotion account executive,3,75,22963.6,Widowed,Male,No,11.96522,5,1,0,No,One year,Yes,Yes,None,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Mailed Check,13.59261,210.1518,1803.186158,4,3,1,4,3,2,1,3
3682,K617337,ed457858-36a0-4800-877a-a8df2bde249f,bec66de60e520df8395218786ae291dc,Elizabeth,IN,Harrison,47117,38.10535,-85.97309,4363,Rural,America/Kentucky/Louisville,"Psychologist, forensic",3,71,33377.2,Married,Female,Yes,6.789145,9,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),8.808902,172.4441,1034.993917,3,3,5,4,4,2,3,5
3683,I526734,637849b3-dda9-4654-9095-2d696af0b0dd,d8e3e076bebdb7a27acf7144c7d19ccd,Cape Coral,FL,Lee,33990,26.62789,-81.94331,32901,Urban,America/New_York,Research scientist (maths),1,57,46339.12,Separated,Female,No,5.257295,13,0,1,No,One year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Bank Transfer(automatic),4.560311,162.4653,1097.407168,2,3,3,2,3,3,3,3
3684,G699718,717a1c7c-90d0-4177-99d6-4f73ca5e6ff1,bc0a172584d1b43f6f65f190cfe0b6a6,Gardiner,MT,Park,59030,45.08482,-110.5725,1273,Suburban,America/Denver,Industrial buyer,0,78,21918.44,Widowed,Male,No,8.818958,7,1,0,Yes,Two Year,No,No,None,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),20.34377,120.0035,1973.92172,4,3,5,5,3,5,4,4
3685,W995393,50305bdf-a81c-40d8-8454-8c5fe3cdb7ff,7c6f54af2370de799855ac1cb1c145fe,Norris,TN,Anderson,37828,36.19797,-84.06905,1264,Urban,America/New_York,Quality manager,0,63,19384.87,Separated,Female,No,11.31459,11,1,0,Yes,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Bank Transfer(automatic),20.86192,149.9621,1943.299733,3,3,3,2,6,2,2,3
3686,U784524,c3ba073d-aa31-4245-8d3f-f894837af4a8,d7034d43ca07677b1c47a525d02c400e,Helix,OR,Umatilla,97835,45.91001,-118.7866,276,Urban,America/Los_Angeles,Holiday representative,4,71,56728.64,Divorced,Female,No,10.36633,15,1,1,No,One year,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Credit Card (automatic),20.5032,182.4608,2068.674053,4,3,5,5,2,5,4,6
3687,C67850,2b08cefb-8520-4792-bf99-6580f928b39e,95aa51c385e6b70f8552b1e97b6080ca,Battletown,KY,Meade,40104,38.09163,-86.34151,969,Suburban,America/New_York,IT trainer,5,30,30113.06,Divorced,Female,No,10.23011,10,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,No,Electronic Check,11.92723,169.9741,1433.513815,2,4,4,4,4,2,2,3
3688,I693971,125c2640-59bd-4ebf-9154-35ea1a0d2661,37921e11d9c5212b2ef4a0b8f469f4b8,Columbus,OH,Franklin,43227,39.94485,-82.88937,24296,Rural,America/New_York,Primary school teacher,1,39,24654.14,Widowed,Male,No,17.99204,14,2,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Mailed Check,9.47414,137.4872,1010.477682,2,4,3,4,4,3,4,3
3689,Q52428,77b04329-0de7-49e9-a25c-bb1b68160364,72eb2b69888837339c457e804d31c33d,Three Forks,MT,Gallatin,59752,45.9492,-111.5064,3378,Suburban,America/Denver,Further education lecturer,2,72,34620.48,Married,Female,Yes,7.164228,13,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,No,Mailed Check,8.116071,172.4624,993.0023112,3,3,4,2,5,3,3,3
3690,T770495,79344bf8-f513-4ad6-bf11-ef67e8a0c128,938be40b4f9b25c9991304f85b7c0647,Merchantville,NJ,Camden,8109,39.95038,-75.05044,22385,Rural,America/New_York,Exhibition designer,3,77,17176.57,Widowed,Female,Yes,8.619073,8,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,7.490867,182.497,939.4887657,3,3,3,4,4,3,4,4
3691,H106495,9b73f680-7cae-4001-969b-a226df2be59c,9b81b4ef1dce228163b5ece8c7f61451,Allison,PA,Fayette,15413,39.98532,-79.87133,593,Urban,America/New_York,"Programmer, multimedia",2,59,12498.28,Separated,Female,No,9.032718,15,0,0,No,Two Year,No,No,None,No,Yes,Yes,No,No,Yes,Yes,No,No,Credit Card (automatic),9.447103,152.4952,1149.009681,4,3,6,4,3,3,4,4
3692,T273994,42f534b5-3682-4d10-8a1f-4aa1e6759358,5211fd566ace7136654e522eb11479c1,Annawan,IL,Henry,61234,41.42078,-89.91831,1267,Suburban,America/Chicago,Dancer,0,48,41250.17,Divorced,Male,No,10.2122,9,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),5.848803,182.447,821.6574124,4,5,5,3,4,4,3,3
3693,D18475,70c2dada-38bd-4ecb-96d7-3cc6e055aa0d,e2ff1d56d99d5bdb327ade2064a93e34,Oklahoma City,OK,Oklahoma,73121,35.52108,-97.4409,3558,Suburban,America/Chicago,Actor,2,89,26175.98,Separated,Male,Yes,13.23246,12,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,No,Yes,No,Credit Card (automatic),7.283366,139.9512,1185.85182,3,2,4,5,2,5,6,3
3694,T900913,0787fce0-7ccc-423f-b410-54640b42eacd,08acca6aeceaf118f2c861e720b78af1,Coulterville,IL,Randolph,62237,38.18906,-89.5691,2435,Suburban,America/Chicago,"Lighting technician, broadcasting/film/video",1,78,66253.35,Widowed,Male,Yes,7.499925,9,0,0,Yes,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,No,Yes,No,Yes,No,Bank Transfer(automatic),1.866832,149.9707,427.8088852,3,3,2,3,4,2,2,6
3695,S312870,d7ad8727-9f44-4d95-969f-ec18290ebc6a,cca06a0cb0fdb23dc7d09895fe16b11c,Santa Maria,CA,Santa Barbara,93454,34.93667,-120.2348,40604,Suburban,America/Los_Angeles,Museum/gallery exhibitions officer,1,59,17835.23,Married,Female,Yes,10.52728,10,2,0,Yes,Month-to-month,No,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,2.240146,187.656,722.8349685,2,2,3,3,4,3,3,3
3696,N290240,17b7572d-abd8-4243-b373-1395c469c3d2,c2fc8c4fa37425dddbf47aeb16402af4,Danville,IL,Vermilion,61832,40.13617,-87.63648,34918,Suburban,America/Chicago,"Research officer, political party",6,21,48268.53,Never Married,Nonbinary,Yes,9.994249,10,1,0,Yes,Month-to-month,No,No,DSL,No,No,No,No,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.992629,152.4742,1261.333501,4,3,4,3,4,3,3,4
3697,F330383,edab9229-4d27-40f0-9fe0-0568f2b8c444,6c222dbb1a229990b7a8917ec2bb280c,New Milford,NJ,Bergen,7646,40.93369,-74.01956,16578,Rural,America/New_York,Environmental consultant,2,61,78748.75,Never Married,Female,No,7.292793,15,1,0,No,One year,No,No,None,No,No,Yes,No,Yes,No,Yes,No,No,Electronic Check,1.671807,120.0035,514.2333467,4,4,3,5,2,5,4,5
3698,P351564,05b93a1c-cd88-4f8c-b295-42ef15156448,3f4be421e9c82363bac1997afca14b4e,Duck Hill,MS,Montgomery,38925,33.62764,-89.63211,2616,Rural,America/Chicago,Health and safety adviser,1,25,10124.99,Never Married,Male,Yes,5.058771,12,0,2,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Credit Card (automatic),10.35779,127.4421,1612.488802,5,4,4,3,3,3,3,5
3699,J834972,212d3b37-5a82-4676-a14c-cdc971b12997,479316891602c93a53c49c1c2f602e13,Courtland,AL,Lawrence,35618,34.64788,-87.30612,1851,Suburban,America/Chicago,Archaeologist,0,53,8058.36,Widowed,Female,No,13.70368,12,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Mailed Check,22.52336,174.9699,2587.895755,1,2,2,3,3,2,1,2
3700,O983275,11b5f603-6285-439a-a050-4ef6347ab8c6,9ccad892c1db21f84f02af10c8664530,Levasy,MO,Jackson,64066,39.1382,-94.12649,38,Rural,America/Chicago,Risk manager,3,30,36755.73,Separated,Male,No,11.41099,10,1,0,No,One year,No,Yes,None,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Mailed Check,15.84313,172.4871,1945.615058,4,3,4,3,4,4,3,4
3701,N367856,5f15427a-11da-48dd-8703-0c1222d8f3ce,55a5cc770521905af2bb63145e2d493a,Wetumpka,AL,Elmore,36092,32.61799,-86.19335,19843,Urban,America/Chicago,"Scientist, research (medical)",4,69,31693.07,Never Married,Female,Yes,12.21299,13,0,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),16.64015,182.4433,2159.000591,4,4,2,3,3,3,5,5
3702,C250137,555a891e-db23-489c-97c3-f7d89e4cd16d,34b7a25c3191dfe2c533ff9be54ca4ee,Alexandria,MO,Clark,63430,40.38959,-91.54038,680,Urban,America/Chicago,"Administrator, sports",4,22,69455.07,Widowed,Nonbinary,No,10.38882,14,1,2,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Yes,No,No,Credit Card (automatic),4.434036,162.4676,1301.182014,3,4,3,4,3,5,4,3
3703,P764987,4100887b-b960-41d5-8611-84b0fba3fea7,8865c27f70ac25fb6497758f6ef00727,Lenexa,KS,Johnson,66220,38.96109,-94.82148,7169,Suburban,America/Chicago,Phytotherapist,1,40,42568.16,Married,Female,Yes,13.74841,11,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Credit Card (automatic),6.318781,195.0062,907.5139744,3,1,4,2,3,4,3,3
3704,Z606822,e6ee1f60-b38c-4be6-b179-1545bbcf52f7,86de44952891ffc7afa7eb8a072bef80,Newark,CA,Alameda,94560,37.52038,-122.031,46276,Urban,America/Los_Angeles,Arts development officer,4,51,85352.98,Separated,Male,Yes,11.02262,15,1,0,No,One year,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,17.18815,255.1336,2692.714225,3,4,3,3,3,3,5,5
3705,K431806,ad3776fe-79d3-4ccb-b230-e34b37a938b7,1ba71fd26c80e000fc156362b6cc2f83,Frederick,MD,Frederick,21703,39.36777,-77.46957,36265,Urban,America/New_York,Archivist,7,30,10773.24,Married,Female,Yes,7.381825,15,1,0,No,Two Year,Yes,No,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Credit Card (automatic),2.14479,104.9781,951.0274665,3,3,3,3,4,3,3,3
3706,S530674,156cef2f-5d75-4566-9175-f435009a95d8,57ddb49bbe476b60a6e966df694d1e31,Fulton,MI,Kalamazoo,49052,42.11428,-85.32073,939,Rural,America/Detroit,Architectural technologist,8,41,60834.36,Never Married,Female,Yes,8.31138,8,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,9.19773,142.5007,1697.166405,5,4,2,4,4,4,5,5
3707,W347019,cc0a8e7f-a3ec-464b-a6b7-641816e7035e,54d1faebe6e8216e566961baee69dbf1,Bowman,ND,Bowman,58623,46.18895,-103.4257,2275,Rural,America/Denver,English as a second language teacher,1,37,25009.73,Married,Female,Yes,12.10369,13,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,5.88788,162.4827,871.4588583,5,3,4,5,3,6,4,4
3708,M537561,ccb08bed-c311-4e96-95b0-3a25e2c560dd,fff94054f598dc138667d61587a03e8e,Solon,ME,Somerset,4979,44.943,-69.79266,884,Suburban,America/New_York,Holiday representative,4,42,41831.89,Divorced,Male,Yes,13.45145,12,2,1,No,Month-to-month,No,No,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,11.21368,242.6573,1819.192603,4,3,3,3,3,4,3,4
3709,J706158,e610a9b1-bd24-4f65-adcd-af7942f9e0e7,3a64ba4a95c48d128d22c02cd1a519fe,Birch Tree,MO,Shannon,65438,36.92524,-91.50254,2455,Rural,America/Chicago,Tourism officer,3,64,61022.41,Never Married,Female,No,10.38191,13,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Mailed Check,5.213752,147.4601,567.5523212,3,4,3,5,3,3,4,2
3710,M252621,0f9f4a33-24bf-4148-ac1d-3e2abf52ab94,5db4da27d932c4183e3294feafbf274a,Mocksville,NC,Davie,27028,35.92348,-80.57515,26044,Rural,America/New_York,Leisure centre manager,0,58,17116.5,Divorced,Female,No,15.09047,14,0,0,Yes,Two Year,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,No,No,Credit Card (automatic),1.215614,152.4441,776.5788688,4,4,4,5,3,4,4,4
3711,B256842,b005db47-7a1c-4f7a-9f2c-29fa2eb677ff,7cc655e036cdbca49317e14ed7aa6ff5,Roxobel,NC,Bertie,27872,36.19493,-77.2603,480,Rural,America/New_York,Retail manager,0,75,8164.76,Divorced,Female,No,9.300768,11,1,1,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,No,No,No,Bank Transfer(automatic),4.226363,114.9976,439.0514662,3,4,3,5,3,4,4,3
3712,W803351,7b5c9844-7888-4181-92b7-3c94e0f56c96,ea98a7406ff8e33d556d0b3a71c8cff0,Notasulga,AL,Macon,36866,32.55437,-85.71545,3758,Urban,America/Chicago,Licensed conveyancer,0,38,45150.63,Divorced,Male,No,14.61731,9,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Electronic Check,11.70321,119.9568,1725.42639,2,3,3,3,3,3,4,3
3713,T168495,3ce95659-0a85-45b8-bbfd-bb9ee59d8fd9,990cd50eed173585d6696f4388a27d85,Chino,CA,San Bernardino,91708,33.95398,-117.6405,3892,Urban,America/Los_Angeles,Training and development officer,0,30,7141.05,Separated,Male,Yes,15.96237,15,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Bank Transfer(automatic),7.2247,164.9889,1060.670899,4,3,2,2,2,4,4,4
3714,C565791,3789a6ae-1b1a-45ae-b1ad-792785ee719c,8c64d34e09d7c567c63f6e272d625eed,Black River,MI,Alcona,48721,44.80513,-83.34554,463,Urban,America/Detroit,Mechanical engineer,4,52,36983.01,Never Married,Female,Yes,7.872305,16,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Electronic Check,4.548296,162.4833,1143.803066,5,5,3,6,2,5,3,4
3715,Z888878,749b014f-298b-404d-91b9-0503f401c334,344c09560aebd959585c4351f12b8264,Lyons Falls,NY,Lewis,13368,43.63877,-75.27511,1063,Suburban,America/New_York,Therapeutic radiographer,1,47,84067.95,Separated,Male,Yes,7.742301,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,19.2087,192.4567,1928.36236,3,4,2,3,4,1,3,2
3716,Z958847,5e99b1f7-8dcd-47c4-8a19-4c72e63f55cf,001018048e604dbed0e638f213d8ea51,Laura,IL,Peoria,61451,40.94578,-89.93875,331,Suburban,America/Chicago,"Journalist, magazine",0,33,25338.56,Separated,Male,No,11.62413,15,1,2,No,One year,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Electronic Check,4.087832,149.9447,1114.579555,5,5,4,5,2,4,4,3
3717,N11819,1ece54f6-a9c6-4593-bdd9-d99c845d4ec0,edb55f85713bce9cef20c9320f15ddb9,Hennepin,IL,Putnam,61327,41.22683,-89.30943,1326,Urban,America/Chicago,Market researcher,2,47,42848.92,Never Married,Male,No,10.08263,13,1,0,No,Month-to-month,No,Yes,None,Yes,No,Yes,No,No,No,No,No,Yes,Electronic Check,1.177776,82.49655,320.9812888,4,5,4,4,4,4,4,4
3718,L303301,65e67d0f-33f8-43e4-870b-630e1d338a06,1bb1dd5d8fd76930ab4c2358eb44dd19,Schlater,MS,Leflore,38952,33.62118,-90.34601,432,Suburban,America/Chicago,Automotive engineer,4,74,1987.78,Separated,Male,No,4.234589,9,1,0,Yes,Two Year,No,No,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),12.75835,139.965,1826.031678,2,2,4,5,3,2,3,3
3719,B311103,e30ae015-98ff-4aa9-93e0-7feef3995d81,0018bf09011b45b87503d9688a562d6d,Sherwood,TN,Franklin,37376,35.04786,-85.95589,351,Urban,America/Chicago,Equities trader,0,62,12050.23,Married,Female,No,9.250838,8,2,0,Yes,Two Year,Yes,No,DSL,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,3.079288,104.9781,707.1891381,4,3,4,4,4,3,3,4
3720,D952460,43b41f4d-e18a-4a09-8237-662f034f1acd,5b7e5d8adc654d577ddb7e0b3f67d330,Primrose,NE,Boone,68655,41.65525,-98.25059,203,Rural,America/Chicago,"Secretary, company",1,35,20318.27,Married,Female,No,4.533903,10,1,1,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Credit Card (automatic),7.116216,112.4551,658.6339621,3,3,2,2,5,3,4,3
3721,H958211,2634f4c3-c515-48c7-b9f4-e5d2dac229e4,47b6874cbe2be425480e7e5e990f812e,Glenford,NY,Ulster,12433,42.00337,-74.15849,549,Suburban,America/New_York,Microbiologist,1,49,99120.55,Separated,Female,Yes,9.959672,13,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),5.315954,232.652,1163.644754,4,4,5,4,3,4,3,4
3722,H873603,dc581562-a6bf-41aa-9bdf-6f070277564e,2a12d43423b407820443da2137bce58b,Edmond,OK,Oklahoma,73012,35.66753,-97.59363,37639,Urban,America/Chicago,TEFL teacher,4,78,35738.68,Widowed,Female,No,7.875203,15,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),7.735821,194.9699,1003.915085,5,4,5,4,4,3,4,4
3723,E645585,f177d5a2-f2b7-4cff-ab33-02f63e98fe5d,97b345dfa039356d108fb7f284ec2af0,Farmland,IN,Randolph,47340,40.18107,-85.1323,2848,Urban,America/Indiana/Indianapolis,"Physicist, medical",0,19,62575.22,Never Married,Female,Yes,4.259613,11,3,0,Yes,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,No,Bank Transfer(automatic),4.473582,142.4689,1116.476714,4,5,5,2,2,5,2,4
3724,I119198,a25724be-4b06-439c-88b7-e3cd120d9095,74b478e08e036934cb836253c37944f8,Burbank,CA,Los Angeles,91501,34.20052,-118.2958,20300,Suburban,America/Los_Angeles,Bookseller,0,37,19168.31,Never Married,Female,Yes,9.946962,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),4.926111,227.4754,856.9298283,3,3,3,5,2,4,4,2
3725,J519616,4305d399-5a47-4ff4-99a5-d9a7630b1e6d,07dde72920abbd3662e72793f562455c,Englewood,CO,Arapahoe,80113,39.64216,-104.9625,23117,Suburban,America/Denver,Economist,2,27,17038.61,Widowed,Male,Yes,12.52276,14,0,0,No,One year,Yes,No,None,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),16.22394,197.6288,2060.236225,2,1,2,4,3,2,2,2
3726,R939963,537eca90-aa44-4d6c-8b16-a45fe9800b83,1cc82e1740145af4f129e48eb9da6207,Temple,NH,Hillsborough,3084,42.82853,-71.85495,1307,Suburban,America/New_York,"Research officer, government",1,57,55120.82,Married,Female,No,13.50565,14,1,1,Yes,Two Year,No,No,DSL,No,Yes,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),13.05964,172.4705,1803.766672,3,3,2,4,4,3,4,4
